step,value
0,28.0
1,22.0
2,29.0
3,14.0
4,44.0
5,29.0
6,42.0
7,11.0
8,8.0
9,10.0
10,51.0
11,10.0
12,9.0
13,9.0
14,27.0
15,10.0
16,43.0
17,10.0
18,9.0
19,54.0
20,33.0
21,9.0
22,8.0
23,74.0
24,9.0
25,10.0
26,9.0
27,9.0
28,10.0
29,43.0
30,68.0
31,12.0
32,9.0
33,10.0
34,9.0
35,10.0
36,9.0
37,10.0
38,9.0
39,10.0
40,9.0
41,9.0
42,9.0
43,8.0
44,9.0
45,10.0
46,9.0
47,10.0
48,8.0
49,13.0
50,10.0
51,13.0
52,22.0
53,10.0
54,13.0
55,16.0
56,13.0
57,14.0
58,20.0
59,24.0
60,15.0
61,21.0
62,29.0
63,22.0
64,26.0
65,24.0
66,10.0
67,10.0
68,9.0
69,28.0
70,30.0
71,26.0
72,16.0
73,20.0
74,16.0
75,28.0
76,19.0
77,21.0
78,21.0
79,25.0
80,23.0
81,30.0
82,18.0
83,17.0
84,30.0
85,18.0
86,31.0
87,18.0
88,22.0
89,22.0
90,22.0
91,42.0
92,25.0
93,20.0
94,53.0
95,26.0
96,34.0
97,41.0
98,33.0
99,23.0
100,20.0
101,17.0
102,10.0
103,21.0
104,9.0
105,9.0
106,18.0
107,44.0
108,30.0
109,23.0
110,102.0
111,56.0
112,35.0
113,9.0
114,9.0
115,74.0
116,59.0
117,34.0
118,32.0
119,38.0
120,41.0
121,26.0
122,172.0
123,101.0
124,49.0
125,38.0
126,55.0
127,34.0
128,40.0
129,42.0
130,35.0
131,49.0
132,63.0
133,31.0
134,63.0
135,27.0
136,23.0
137,28.0
138,72.0
139,38.0
140,46.0
141,32.0
142,30.0
143,36.0
144,107.0
145,27.0
146,80.0
147,40.0
148,46.0
149,76.0
150,102.0
151,49.0
152,39.0
153,29.0
154,69.0
155,139.0
156,91.0
157,60.0
158,102.0
159,35.0
160,77.0
161,36.0
162,55.0
163,39.0
164,50.0
165,66.0
166,54.0
167,95.0
168,64.0
169,36.0
170,27.0
171,69.0
172,93.0
173,30.0
174,28.0
175,29.0
176,24.0
177,32.0
178,101.0
179,36.0
180,38.0
181,29.0
182,77.0
183,28.0
184,62.0
185,47.0
186,51.0
187,71.0
188,141.0
189,34.0
190,27.0
191,28.0
192,72.0
193,42.0
194,28.0
195,28.0
196,31.0
197,30.0
198,34.0
199,47.0
200,88.0
201,114.0
202,63.0
203,39.0
204,78.0
205,30.0
206,30.0
207,52.0
208,137.0
209,23.0
210,93.0
211,40.0
212,76.0
213,32.0
214,50.0
215,68.0
216,88.0
217,41.0
218,25.0
219,32.0
220,34.0
221,68.0
222,48.0
223,64.0
224,25.0
225,50.0
226,77.0
227,76.0
228,56.0
229,44.0
230,38.0
231,28.0
232,88.0
233,58.0
234,46.0
235,31.0
236,30.0
237,98.0
238,72.0
239,30.0
240,38.0
241,56.0
242,29.0
243,48.0
244,36.0
245,35.0
246,115.0
247,25.0
248,24.0
249,32.0
250,63.0
251,28.0
252,55.0
253,128.0
254,158.0
255,180.0
256,51.0
257,70.0
258,34.0
259,60.0
260,50.0
261,38.0
262,41.0
263,41.0
264,98.0
265,31.0
266,39.0
267,45.0
268,44.0
269,41.0
270,28.0
271,185.0
272,169.0
273,78.0
274,52.0
275,111.0
276,200.0
277,85.0
278,200.0
279,71.0
280,35.0
281,54.0
282,70.0
283,68.0
284,70.0
285,38.0
286,57.0
287,43.0
288,72.0
289,42.0
290,66.0
291,43.0
292,85.0
293,40.0
294,74.0
295,46.0
296,55.0
297,104.0
298,29.0
299,43.0
300,41.0
301,43.0
302,129.0
303,66.0
304,30.0
305,78.0
306,42.0
307,74.0
308,68.0
309,74.0
310,41.0
311,86.0
312,80.0
313,107.0
314,64.0
315,122.0
316,73.0
317,49.0
318,50.0
319,89.0
320,46.0
321,38.0
322,39.0
323,38.0
324,37.0
325,68.0
326,84.0
327,40.0
328,44.0
329,194.0
330,104.0
331,65.0
332,40.0
333,44.0
334,37.0
335,63.0
336,38.0
337,59.0
338,50.0
339,51.0
340,49.0
341,47.0
342,140.0
343,33.0
344,32.0
345,37.0
346,48.0
347,68.0
348,47.0
349,60.0
350,192.0
351,99.0
352,74.0
353,86.0
354,90.0
355,41.0
356,89.0
357,108.0
358,94.0
359,50.0
360,89.0
361,46.0
362,54.0
363,40.0
364,30.0
365,118.0
366,161.0
367,50.0
368,54.0
369,39.0
370,36.0
371,200.0
372,77.0
373,69.0
374,76.0
375,49.0
376,45.0
377,200.0
378,48.0
379,65.0
380,34.0
381,45.0
382,101.0
383,41.0
384,60.0
385,75.0
386,75.0
387,29.0
388,58.0
389,30.0
390,115.0
391,31.0
392,47.0
393,34.0
394,37.0
395,48.0
396,48.0
397,74.0
398,132.0
399,143.0
400,113.0
401,59.0
402,66.0
403,97.0
404,200.0
405,132.0
406,69.0
407,55.0
408,42.0
409,58.0
410,52.0
411,47.0
412,36.0
413,96.0
414,128.0
415,63.0
416,67.0
417,41.0
418,47.0
419,36.0
420,36.0
421,61.0
422,38.0
423,55.0
424,82.0
425,50.0
426,80.0
427,64.0
428,73.0
429,38.0
430,53.0
431,37.0
432,36.0
433,46.0
434,125.0
435,54.0
436,40.0
437,35.0
438,61.0
439,76.0
440,34.0
441,34.0
442,44.0
443,44.0
444,59.0
445,32.0
446,65.0
447,43.0
448,45.0
449,36.0
450,46.0
451,48.0
452,32.0
453,34.0
454,47.0
455,41.0
456,82.0
457,90.0
458,49.0
459,63.0
460,40.0
461,46.0
462,72.0
463,68.0
464,51.0
465,61.0
466,44.0
467,58.0
468,65.0
469,69.0
470,73.0
471,54.0
472,44.0
473,78.0
474,80.0
475,66.0
476,120.0
477,44.0
478,200.0
479,58.0
480,104.0
481,53.0
482,47.0
483,60.0
484,112.0
485,192.0
486,37.0
487,48.0
488,76.0
489,77.0
