step,value
0,9.0
1,11.0
2,9.0
3,9.0
4,9.0
5,8.0
6,10.0
7,9.0
8,10.0
9,9.0
10,10.0
11,8.0
12,10.0
13,9.0
14,9.0
15,8.0
16,9.0
17,10.0
18,9.0
19,9.0
20,9.0
21,10.0
22,9.0
23,9.0
24,11.0
25,11.0
26,11.0
27,13.0
28,9.0
29,13.0
30,10.0
31,11.0
32,10.0
33,14.0
34,13.0
35,14.0
36,15.0
37,13.0
38,11.0
39,15.0
40,22.0
41,10.0
42,32.0
43,10.0
44,26.0
45,30.0
46,22.0
47,17.0
48,14.0
49,18.0
50,15.0
51,14.0
52,32.0
53,34.0
54,27.0
55,24.0
56,35.0
57,23.0
58,100.0
59,17.0
60,53.0
61,23.0
62,51.0
63,26.0
64,32.0
65,27.0
66,25.0
67,37.0
68,19.0
69,42.0
70,26.0
71,21.0
72,32.0
73,25.0
74,71.0
75,40.0
76,38.0
77,24.0
78,23.0
79,28.0
80,30.0
81,34.0
82,37.0
83,19.0
84,32.0
85,32.0
86,29.0
87,27.0
88,23.0
89,24.0
90,29.0
91,32.0
92,35.0
93,33.0
94,36.0
95,26.0
96,34.0
97,32.0
98,28.0
99,26.0
100,32.0
101,36.0
102,37.0
103,27.0
104,32.0
105,40.0
106,35.0
107,41.0
108,39.0
109,43.0
110,43.0
111,30.0
112,49.0
113,53.0
114,53.0
115,53.0
116,43.0
117,36.0
118,51.0
119,74.0
120,30.0
121,81.0
122,45.0
123,37.0
124,40.0
125,50.0
126,47.0
127,45.0
128,55.0
129,36.0
130,183.0
131,45.0
132,61.0
133,48.0
134,56.0
135,52.0
136,65.0
137,118.0
138,40.0
139,69.0
140,53.0
141,31.0
142,41.0
143,57.0
144,41.0
145,55.0
146,75.0
147,39.0
148,47.0
149,59.0
150,52.0
151,77.0
152,55.0
153,39.0
154,124.0
155,47.0
156,29.0
157,45.0
158,45.0
159,49.0
160,53.0
161,49.0
162,107.0
163,33.0
164,134.0
165,60.0
166,55.0
167,33.0
168,47.0
169,119.0
170,113.0
171,37.0
172,33.0
173,99.0
174,41.0
175,183.0
176,47.0
177,46.0
178,200.0
179,200.0
180,200.0
181,62.0
182,46.0
183,200.0
184,58.0
185,46.0
186,170.0
187,36.0
188,76.0
189,200.0
190,54.0
191,50.0
192,95.0
193,96.0
194,63.0
195,52.0
196,84.0
197,60.0
198,77.0
199,147.0
200,121.0
201,90.0
202,200.0
203,119.0
204,81.0
205,59.0
206,75.0
207,107.0
208,200.0
209,97.0
210,81.0
211,129.0
212,91.0
213,135.0
214,191.0
215,107.0
216,103.0
217,185.0
218,89.0
219,111.0
220,118.0
221,125.0
222,69.0
223,77.0
224,115.0
225,182.0
226,196.0
227,83.0
228,142.0
229,200.0
230,130.0
231,126.0
232,200.0
233,135.0
234,200.0
235,110.0
236,108.0
237,81.0
238,133.0
239,147.0
240,96.0
241,175.0
242,81.0
243,139.0
244,93.0
245,200.0
246,200.0
247,75.0
248,90.0
249,200.0
250,143.0
251,200.0
252,200.0
253,93.0
254,200.0
255,200.0
256,129.0
257,89.0
258,200.0
259,200.0
260,146.0
261,128.0
262,200.0
263,200.0
264,200.0
265,200.0
266,164.0
267,100.0
268,150.0
269,124.0
270,200.0
271,108.0
272,114.0
273,126.0
274,96.0
275,200.0
276,200.0
277,200.0
278,88.0
279,200.0
280,200.0
281,200.0
282,83.0
283,105.0
284,103.0
285,200.0
286,200.0
287,200.0
288,141.0
289,200.0
290,97.0
291,109.0
292,99.0
293,124.0
294,200.0
295,103.0
296,111.0
297,133.0
298,133.0
299,141.0
300,104.0
301,119.0
302,121.0
303,127.0
304,200.0
305,134.0
306,112.0
307,79.0
308,145.0
309,115.0
310,139.0
311,166.0
312,200.0
313,200.0
314,139.0
315,120.0
316,200.0
317,100.0
318,112.0
319,89.0
320,140.0
321,148.0
322,87.0
323,172.0
324,120.0
325,133.0
326,200.0
327,109.0
328,117.0
329,200.0
330,127.0
331,101.0
332,104.0
333,151.0
334,110.0
335,96.0
336,141.0
337,200.0
338,93.0
339,125.0
340,140.0
341,139.0
342,116.0
343,124.0
344,200.0
345,200.0
346,98.0
347,98.0
348,94.0
349,114.0
350,142.0
351,184.0
352,107.0
353,108.0
354,98.0
355,142.0
356,200.0
357,200.0
358,97.0
359,138.0
360,200.0
361,147.0
362,200.0
363,122.0
364,200.0
365,110.0
366,111.0
367,127.0
368,170.0
369,131.0
370,98.0
371,142.0
372,125.0
373,111.0
374,200.0
375,103.0
376,153.0
377,125.0
378,114.0
379,127.0
380,142.0
381,97.0
382,133.0
383,180.0
384,169.0
385,118.0
386,161.0
387,110.0
388,162.0
389,131.0
390,146.0
391,200.0
392,158.0
393,120.0
394,152.0
395,155.0
396,169.0
397,200.0
398,118.0
399,133.0
400,92.0
401,112.0
402,131.0
403,136.0
404,102.0
405,154.0
406,153.0
407,113.0
408,130.0
409,151.0
410,142.0
411,141.0
412,195.0
413,200.0
414,200.0
415,126.0
416,113.0
417,125.0
418,138.0
419,149.0
420,200.0
421,146.0
422,144.0
423,146.0
424,140.0
425,144.0
426,96.0
427,179.0
428,200.0
429,159.0
430,172.0
431,106.0
432,172.0
433,138.0
434,126.0
435,200.0
436,182.0
437,150.0
438,183.0
439,164.0
440,128.0
441,120.0
442,195.0
443,139.0
444,134.0
445,200.0
446,200.0
447,187.0
448,160.0
449,200.0
450,157.0
451,124.0
452,148.0
453,200.0
454,139.0
455,147.0
456,188.0
457,116.0
458,160.0
459,118.0
460,161.0
461,131.0
462,143.0
463,132.0
464,140.0
465,112.0
466,125.0
467,200.0
468,123.0
469,128.0
470,108.0
471,140.0
472,182.0
473,123.0
474,140.0
475,110.0
476,115.0
477,113.0
478,161.0
479,174.0
480,186.0
481,155.0
482,156.0
483,137.0
484,186.0
485,127.0
486,174.0
487,200.0
488,129.0
489,200.0
