step,value
0,10.0
1,11.0
2,11.0
3,12.0
4,9.0
5,9.0
6,9.0
7,10.0
8,9.0
9,9.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,8.0
16,9.0
17,10.0
18,10.0
19,8.0
20,11.0
21,13.0
22,13.0
23,17.0
24,24.0
25,9.0
26,46.0
27,22.0
28,28.0
29,10.0
30,29.0
31,26.0
32,10.0
33,31.0
34,31.0
35,30.0
36,31.0
37,33.0
38,12.0
39,28.0
40,11.0
41,29.0
42,12.0
43,13.0
44,12.0
45,12.0
46,33.0
47,12.0
48,12.0
49,13.0
50,31.0
51,37.0
52,11.0
53,10.0
54,36.0
55,38.0
56,11.0
57,11.0
58,36.0
59,31.0
60,11.0
61,11.0
62,10.0
63,10.0
64,10.0
65,9.0
66,11.0
67,11.0
68,11.0
69,10.0
70,9.0
71,9.0
72,10.0
73,10.0
74,9.0
75,36.0
76,72.0
77,29.0
78,24.0
79,51.0
80,44.0
81,11.0
82,48.0
83,28.0
84,11.0
85,11.0
86,27.0
87,15.0
88,12.0
89,12.0
90,28.0
91,11.0
92,28.0
93,12.0
94,11.0
95,11.0
96,10.0
97,12.0
98,11.0
99,10.0
100,10.0
101,10.0
102,11.0
103,16.0
104,10.0
105,9.0
106,11.0
107,11.0
108,11.0
109,10.0
110,11.0
111,10.0
112,11.0
113,10.0
114,24.0
115,11.0
116,12.0
117,16.0
118,10.0
119,10.0
120,11.0
121,10.0
122,11.0
123,12.0
124,19.0
125,25.0
126,40.0
127,22.0
128,28.0
129,11.0
130,32.0
131,33.0
132,27.0
133,35.0
134,20.0
135,29.0
136,47.0
137,29.0
138,18.0
139,24.0
140,172.0
141,60.0
142,33.0
143,200.0
144,35.0
145,24.0
146,44.0
147,89.0
148,60.0
149,27.0
150,24.0
151,21.0
152,18.0
153,63.0
154,24.0
155,27.0
156,29.0
157,31.0
158,72.0
159,60.0
160,78.0
161,22.0
162,22.0
163,200.0
164,45.0
165,200.0
166,24.0
167,165.0
168,86.0
169,18.0
170,21.0
171,15.0
172,42.0
173,38.0
174,38.0
175,23.0
176,96.0
177,46.0
178,27.0
179,37.0
180,152.0
181,36.0
182,43.0
183,200.0
184,31.0
185,49.0
186,96.0
187,182.0
188,38.0
189,36.0
190,44.0
191,80.0
192,24.0
193,41.0
194,32.0
195,56.0
196,35.0
197,41.0
198,40.0
199,34.0
200,80.0
201,66.0
202,38.0
203,144.0
204,26.0
205,43.0
206,41.0
207,22.0
208,41.0
209,53.0
210,38.0
