step,value
0,30.0
1,21.0
2,50.0
3,13.0
4,19.0
5,10.0
6,31.0
7,8.0
8,8.0
9,38.0
10,11.0
11,44.0
12,32.0
13,36.0
14,37.0
15,9.0
16,48.0
17,40.0
18,13.0
19,8.0
20,9.0
21,9.0
22,8.0
23,9.0
24,9.0
25,49.0
26,25.0
27,42.0
28,16.0
29,41.0
30,9.0
31,8.0
32,12.0
33,11.0
34,14.0
35,31.0
36,22.0
37,92.0
38,53.0
39,30.0
40,21.0
41,13.0
42,59.0
43,36.0
44,27.0
45,21.0
46,26.0
47,38.0
48,73.0
49,29.0
50,23.0
51,40.0
52,23.0
53,24.0
54,46.0
55,42.0
56,18.0
57,58.0
58,34.0
59,80.0
60,50.0
61,21.0
62,25.0
63,26.0
64,16.0
65,39.0
66,56.0
67,30.0
68,28.0
69,38.0
70,118.0
71,29.0
72,21.0
73,36.0
74,28.0
75,47.0
76,29.0
77,27.0
78,84.0
79,76.0
80,55.0
81,132.0
82,67.0
83,52.0
84,30.0
85,27.0
86,72.0
87,51.0
88,28.0
89,31.0
90,58.0
91,80.0
92,57.0
93,39.0
94,22.0
95,167.0
96,32.0
97,29.0
98,129.0
99,43.0
100,142.0
101,41.0
102,28.0
103,53.0
104,31.0
105,26.0
106,62.0
107,27.0
108,23.0
109,65.0
110,39.0
111,31.0
112,56.0
113,58.0
114,53.0
115,72.0
116,47.0
117,38.0
118,63.0
119,71.0
120,41.0
121,59.0
122,38.0
123,70.0
124,46.0
125,181.0
126,40.0
127,200.0
128,68.0
129,80.0
130,51.0
131,62.0
132,78.0
133,40.0
134,35.0
135,75.0
136,71.0
137,38.0
138,37.0
139,27.0
140,65.0
141,40.0
142,200.0
143,51.0
144,39.0
145,94.0
146,46.0
147,33.0
148,133.0
149,95.0
150,29.0
151,39.0
152,41.0
153,34.0
154,38.0
155,36.0
156,37.0
157,80.0
158,200.0
159,200.0
160,60.0
161,200.0
162,49.0
163,100.0
164,200.0
165,83.0
166,50.0
167,57.0
168,80.0
169,200.0
170,86.0
171,53.0
172,110.0
173,43.0
174,52.0
175,78.0
176,55.0
177,46.0
178,37.0
179,200.0
180,143.0
181,40.0
182,96.0
183,32.0
184,37.0
185,38.0
186,44.0
187,177.0
188,43.0
189,51.0
190,84.0
191,191.0
192,56.0
193,32.0
194,37.0
195,63.0
196,72.0
197,43.0
198,80.0
199,54.0
200,50.0
201,35.0
202,47.0
203,122.0
204,45.0
205,90.0
206,52.0
207,88.0
208,125.0
209,60.0
210,40.0
211,31.0
212,31.0
213,105.0
214,37.0
215,65.0
216,55.0
217,66.0
218,64.0
219,97.0
220,47.0
221,39.0
222,95.0
223,52.0
224,61.0
225,38.0
226,50.0
227,129.0
228,74.0
229,55.0
230,49.0
231,200.0
232,111.0
233,61.0
234,75.0
235,55.0
236,91.0
237,129.0
238,51.0
239,80.0
240,142.0
241,80.0
242,62.0
243,43.0
244,47.0
245,143.0
246,45.0
247,63.0
248,117.0
249,70.0
250,63.0
251,98.0
252,67.0
253,73.0
254,58.0
255,51.0
256,99.0
257,66.0
258,56.0
259,47.0
260,49.0
261,149.0
262,189.0
263,167.0
264,158.0
265,92.0
266,48.0
267,76.0
268,81.0
269,79.0
270,85.0
271,103.0
272,141.0
273,76.0
274,62.0
275,69.0
276,49.0
277,97.0
278,182.0
279,76.0
280,84.0
281,54.0
282,62.0
283,62.0
284,64.0
285,101.0
286,47.0
287,112.0
288,78.0
289,56.0
290,77.0
291,73.0
292,131.0
293,71.0
294,43.0
295,39.0
296,44.0
297,44.0
298,70.0
299,64.0
300,65.0
301,80.0
302,198.0
303,162.0
304,152.0
305,46.0
306,58.0
307,59.0
308,61.0
309,81.0
310,120.0
311,86.0
312,75.0
313,69.0
314,94.0
315,137.0
316,100.0
317,50.0
318,61.0
319,77.0
320,101.0
321,148.0
322,84.0
323,183.0
324,161.0
325,200.0
326,200.0
327,103.0
328,167.0
329,73.0
330,100.0
331,164.0
332,64.0
333,200.0
334,158.0
335,151.0
336,108.0
337,95.0
338,67.0
339,54.0
340,200.0
341,90.0
