step,value
0,8.0
1,11.0
2,8.0
3,9.0
4,8.0
5,10.0
6,9.0
7,10.0
8,10.0
9,8.0
10,9.0
11,9.0
12,10.0
13,9.0
14,9.0
15,9.0
16,9.0
17,10.0
18,10.0
19,9.0
20,9.0
21,10.0
22,9.0
23,13.0
24,11.0
25,9.0
26,29.0
27,38.0
28,41.0
29,35.0
30,11.0
31,69.0
32,10.0
33,11.0
34,10.0
35,10.0
36,15.0
37,10.0
38,10.0
39,16.0
40,9.0
41,10.0
42,10.0
43,9.0
44,39.0
45,9.0
46,9.0
47,9.0
48,9.0
49,9.0
50,9.0
51,10.0
52,9.0
53,15.0
54,10.0
55,9.0
56,32.0
57,27.0
58,26.0
59,37.0
60,46.0
61,14.0
62,50.0
63,28.0
64,32.0
65,33.0
66,62.0
67,27.0
68,35.0
69,79.0
70,94.0
71,16.0
72,16.0
73,26.0
74,51.0
75,73.0
76,18.0
77,100.0
78,73.0
79,119.0
80,22.0
81,54.0
82,36.0
83,34.0
84,77.0
85,36.0
86,35.0
87,26.0
88,57.0
89,75.0
90,45.0
91,47.0
92,22.0
93,25.0
94,50.0
95,46.0
96,21.0
97,21.0
98,26.0
99,22.0
100,22.0
101,59.0
102,17.0
103,36.0
104,18.0
105,87.0
106,50.0
107,24.0
108,33.0
109,55.0
110,37.0
111,34.0
112,34.0
113,30.0
114,65.0
115,126.0
116,52.0
117,24.0
118,46.0
119,85.0
120,25.0
121,33.0
122,21.0
123,40.0
124,76.0
125,20.0
126,83.0
127,55.0
128,122.0
129,39.0
130,78.0
131,102.0
132,38.0
133,55.0
134,45.0
135,31.0
136,30.0
137,58.0
138,34.0
139,33.0
140,50.0
141,33.0
142,28.0
143,30.0
144,121.0
145,73.0
146,73.0
147,60.0
148,89.0
149,51.0
150,41.0
151,48.0
152,33.0
153,49.0
154,118.0
155,46.0
156,99.0
157,39.0
158,43.0
159,42.0
160,46.0
161,42.0
162,115.0
163,33.0
164,64.0
165,100.0
166,76.0
167,107.0
168,80.0
169,60.0
170,100.0
171,81.0
172,61.0
173,49.0
174,113.0
175,64.0
176,154.0
177,71.0
178,77.0
179,78.0
180,159.0
181,156.0
182,98.0
