step,value
0,32.0
1,23.0
2,50.0
3,13.0
4,11.0
5,8.0
6,9.0
7,9.0
8,10.0
9,10.0
10,10.0
11,8.0
12,10.0
13,9.0
14,8.0
15,9.0
16,10.0
17,10.0
18,9.0
19,8.0
20,10.0
21,10.0
22,9.0
23,9.0
24,9.0
25,10.0
26,10.0
27,9.0
28,8.0
29,9.0
30,9.0
31,10.0
32,9.0
33,9.0
34,9.0
35,10.0
36,19.0
37,11.0
38,16.0
39,10.0
40,22.0
41,28.0
42,20.0
43,8.0
44,9.0
45,21.0
46,25.0
47,22.0
48,11.0
49,9.0
50,25.0
51,35.0
52,54.0
53,77.0
54,30.0
55,24.0
56,13.0
57,20.0
58,23.0
59,127.0
60,28.0
61,28.0
62,36.0
63,24.0
64,62.0
65,34.0
66,12.0
67,31.0
68,134.0
69,97.0
70,23.0
71,36.0
72,13.0
73,37.0
74,23.0
75,36.0
76,24.0
77,35.0
78,39.0
79,36.0
80,30.0
81,24.0
82,35.0
83,31.0
84,58.0
85,81.0
86,125.0
87,38.0
88,16.0
89,24.0
90,23.0
91,28.0
92,24.0
93,31.0
94,37.0
95,38.0
96,38.0
97,48.0
98,37.0
99,41.0
100,31.0
101,28.0
102,37.0
103,46.0
104,25.0
105,35.0
106,35.0
107,39.0
108,24.0
109,47.0
110,27.0
111,59.0
112,48.0
113,38.0
114,46.0
115,59.0
116,51.0
117,38.0
118,52.0
119,96.0
120,57.0
121,53.0
122,26.0
123,43.0
124,73.0
125,42.0
126,28.0
127,35.0
128,40.0
129,26.0
130,37.0
131,35.0
132,35.0
133,41.0
134,39.0
135,80.0
136,44.0
137,81.0
138,78.0
139,80.0
140,26.0
141,68.0
142,39.0
143,37.0
144,24.0
145,40.0
146,35.0
147,62.0
148,49.0
149,62.0
150,75.0
151,48.0
152,31.0
153,73.0
154,51.0
155,35.0
156,73.0
157,75.0
158,40.0
159,24.0
160,26.0
161,34.0
162,37.0
163,25.0
164,21.0
165,27.0
166,24.0
167,34.0
168,59.0
169,68.0
170,51.0
171,37.0
172,70.0
173,49.0
174,34.0
175,48.0
176,52.0
177,25.0
178,24.0
179,25.0
180,34.0
181,43.0
182,45.0
183,25.0
184,38.0
185,35.0
186,36.0
187,38.0
188,51.0
189,38.0
190,52.0
191,200.0
192,67.0
193,45.0
194,50.0
195,52.0
196,41.0
197,47.0
198,50.0
199,61.0
200,51.0
201,55.0
202,40.0
203,48.0
204,58.0
205,65.0
206,51.0
207,47.0
208,46.0
209,38.0
210,23.0
211,39.0
212,34.0
213,30.0
214,25.0
215,57.0
216,48.0
217,62.0
218,38.0
219,33.0
220,60.0
221,57.0
222,60.0
223,39.0
224,39.0
225,51.0
226,57.0
227,79.0
228,70.0
229,35.0
230,51.0
231,32.0
232,25.0
233,39.0
234,27.0
235,25.0
236,38.0
237,53.0
238,40.0
239,33.0
240,34.0
241,31.0
242,38.0
243,46.0
244,43.0
245,43.0
246,25.0
247,33.0
248,51.0
249,41.0
250,43.0
251,58.0
252,57.0
253,34.0
254,33.0
255,53.0
256,56.0
257,47.0
258,63.0
259,61.0
260,56.0
261,42.0
262,33.0
263,34.0
264,37.0
265,24.0
266,42.0
267,38.0
268,35.0
269,52.0
270,41.0
271,65.0
272,54.0
273,45.0
274,50.0
275,56.0
276,52.0
277,45.0
278,50.0
279,26.0
280,47.0
281,26.0
282,25.0
283,24.0
284,38.0
285,58.0
286,56.0
287,39.0
288,82.0
289,57.0
290,97.0
291,70.0
292,70.0
293,123.0
294,63.0
295,60.0
296,109.0
297,98.0
298,58.0
299,200.0
300,200.0
301,48.0
302,39.0
303,40.0
304,54.0
305,34.0
306,34.0
307,40.0
308,41.0
309,39.0
310,39.0
311,41.0
312,23.0
313,47.0
314,51.0
315,40.0
316,64.0
317,40.0
318,40.0
319,61.0
320,84.0
321,54.0
322,66.0
323,72.0
324,60.0
325,35.0
326,44.0
327,52.0
328,72.0
329,50.0
330,47.0
331,59.0
332,48.0
333,76.0
334,38.0
335,41.0
336,42.0
337,52.0
338,76.0
339,47.0
340,45.0
341,34.0
342,46.0
343,40.0
344,41.0
345,50.0
346,46.0
347,46.0
348,63.0
349,52.0
350,36.0
351,35.0
352,69.0
353,43.0
354,82.0
355,51.0
356,25.0
357,41.0
358,52.0
359,35.0
360,57.0
361,47.0
362,43.0
363,144.0
364,68.0
365,80.0
366,58.0
367,78.0
368,59.0
369,72.0
370,47.0
371,52.0
372,67.0
373,85.0
374,68.0
375,41.0
376,35.0
377,49.0
378,39.0
379,27.0
380,60.0
381,63.0
382,53.0
383,41.0
384,40.0
385,34.0
386,46.0
387,107.0
388,56.0
389,113.0
390,71.0
391,47.0
392,147.0
