step,value
0,10.0
1,8.0
2,9.0
3,10.0
4,10.0
5,9.0
6,9.0
7,45.0
8,11.0
9,10.0
10,8.0
11,10.0
12,11.0
13,9.0
14,10.0
15,9.0
16,9.0
17,9.0
18,9.0
19,10.0
20,10.0
21,11.0
22,10.0
23,8.0
24,9.0
25,10.0
26,8.0
27,9.0
28,9.0
29,9.0
30,10.0
31,10.0
32,10.0
33,9.0
34,10.0
35,10.0
36,10.0
37,10.0
38,9.0
39,10.0
40,10.0
41,11.0
42,9.0
43,10.0
44,8.0
45,10.0
46,12.0
47,17.0
48,10.0
49,9.0
50,18.0
51,14.0
52,9.0
53,17.0
54,11.0
55,27.0
56,16.0
57,25.0
58,34.0
59,16.0
60,34.0
61,22.0
62,25.0
63,24.0
64,12.0
65,16.0
66,38.0
67,15.0
68,16.0
69,12.0
70,12.0
71,20.0
72,15.0
73,24.0
74,20.0
75,20.0
76,9.0
77,9.0
78,12.0
79,28.0
80,10.0
81,10.0
82,10.0
83,8.0
84,41.0
85,21.0
86,21.0
87,19.0
88,24.0
89,10.0
90,35.0
91,33.0
92,32.0
93,18.0
94,37.0
95,26.0
96,15.0
97,19.0
98,43.0
99,9.0
100,10.0
101,10.0
102,77.0
103,35.0
104,27.0
105,32.0
106,32.0
107,31.0
108,44.0
109,49.0
110,41.0
111,48.0
112,18.0
113,31.0
114,55.0
115,52.0
116,29.0
117,58.0
118,95.0
119,65.0
120,47.0
121,36.0
122,34.0
123,46.0
124,31.0
125,95.0
126,76.0
127,90.0
128,150.0
129,78.0
130,102.0
131,37.0
132,42.0
133,39.0
134,67.0
135,67.0
136,65.0
137,31.0
138,33.0
139,72.0
140,95.0
141,61.0
142,69.0
143,64.0
144,134.0
145,50.0
146,96.0
147,62.0
148,72.0
149,66.0
150,26.0
151,46.0
152,58.0
153,32.0
154,28.0
155,76.0
156,36.0
157,32.0
158,36.0
159,85.0
160,46.0
161,46.0
162,31.0
163,108.0
164,44.0
165,71.0
166,200.0
167,57.0
168,73.0
169,70.0
170,56.0
171,140.0
172,200.0
173,50.0
174,36.0
175,21.0
176,25.0
177,42.0
178,200.0
179,61.0
180,32.0
181,49.0
182,41.0
183,74.0
184,86.0
185,37.0
186,38.0
187,35.0
188,47.0
189,66.0
190,30.0
191,38.0
192,79.0
193,168.0
194,86.0
195,67.0
196,52.0
197,41.0
198,93.0
199,78.0
200,200.0
201,51.0
202,52.0
203,25.0
204,80.0
205,71.0
206,164.0
207,200.0
208,123.0
209,34.0
210,200.0
211,200.0
212,39.0
213,53.0
214,52.0
215,165.0
216,41.0
217,34.0
218,52.0
219,133.0
220,96.0
221,48.0
222,47.0
223,125.0
224,165.0
225,147.0
226,77.0
227,160.0
228,46.0
229,48.0
230,25.0
231,75.0
232,77.0
233,64.0
234,58.0
235,173.0
236,54.0
237,59.0
238,55.0
239,200.0
240,44.0
241,50.0
242,70.0
243,47.0
244,71.0
245,68.0
246,191.0
247,114.0
248,92.0
249,188.0
250,61.0
251,102.0
252,200.0
253,56.0
254,60.0
255,62.0
256,35.0
257,60.0
258,47.0
259,197.0
260,99.0
261,70.0
262,71.0
263,66.0
264,59.0
265,55.0
266,81.0
267,98.0
268,146.0
269,50.0
270,63.0
271,45.0
272,40.0
273,39.0
274,83.0
275,126.0
276,42.0
277,43.0
278,138.0
279,48.0
280,143.0
281,68.0
282,64.0
283,74.0
284,46.0
285,58.0
286,62.0
287,68.0
288,60.0
289,56.0
290,52.0
291,47.0
292,82.0
293,118.0
294,128.0
295,92.0
296,66.0
297,78.0
298,68.0
299,153.0
300,41.0
301,200.0
302,59.0
303,115.0
304,165.0
305,64.0
306,71.0
307,54.0
308,200.0
309,37.0
310,200.0
311,50.0
312,107.0
313,200.0
314,64.0
315,69.0
316,62.0
317,50.0
