step,value
0,9.0
1,10.0
2,9.0
3,36.0
4,32.0
5,33.0
6,27.0
7,27.0
8,12.0
9,10.0
10,10.0
11,11.0
12,26.0
13,14.0
14,11.0
15,11.0
16,10.0
17,10.0
18,30.0
19,10.0
20,10.0
21,11.0
22,10.0
23,10.0
24,9.0
25,9.0
26,10.0
27,10.0
28,9.0
29,10.0
30,9.0
31,9.0
32,9.0
33,10.0
34,10.0
35,11.0
36,10.0
37,9.0
38,9.0
39,10.0
40,9.0
41,11.0
42,10.0
43,10.0
44,9.0
45,9.0
46,10.0
47,10.0
48,8.0
49,10.0
50,9.0
51,9.0
52,8.0
53,9.0
54,9.0
55,10.0
56,9.0
57,8.0
58,8.0
59,9.0
60,60.0
61,9.0
62,14.0
63,20.0
64,12.0
65,15.0
66,13.0
67,15.0
68,13.0
69,12.0
70,16.0
71,18.0
72,13.0
73,16.0
74,18.0
75,20.0
76,17.0
77,17.0
78,13.0
79,15.0
80,17.0
81,18.0
82,18.0
83,15.0
84,23.0
85,15.0
86,23.0
87,22.0
88,23.0
89,17.0
90,14.0
91,16.0
92,17.0
93,18.0
94,19.0
95,23.0
96,15.0
97,15.0
98,15.0
99,20.0
100,19.0
101,16.0
102,30.0
103,19.0
104,21.0
105,16.0
106,17.0
107,14.0
108,26.0
109,20.0
110,18.0
111,16.0
112,15.0
113,16.0
114,19.0
115,34.0
116,30.0
117,89.0
118,80.0
119,20.0
120,24.0
121,39.0
122,16.0
123,77.0
124,51.0
125,20.0
126,14.0
127,27.0
128,18.0
129,24.0
130,82.0
131,23.0
132,30.0
133,18.0
134,23.0
135,16.0
136,32.0
137,79.0
138,38.0
139,84.0
140,27.0
141,14.0
142,16.0
143,28.0
144,20.0
145,144.0
146,126.0
147,84.0
148,91.0
149,84.0
150,132.0
151,200.0
152,200.0
153,165.0
154,116.0
155,79.0
156,89.0
157,90.0
158,104.0
159,80.0
160,200.0
161,141.0
162,200.0
163,121.0
164,200.0
165,116.0
166,69.0
167,77.0
168,120.0
169,75.0
170,109.0
171,99.0
172,83.0
173,103.0
174,120.0
175,129.0
176,95.0
177,121.0
178,101.0
179,92.0
180,119.0
181,135.0
182,109.0
183,110.0
184,106.0
185,92.0
186,119.0
187,106.0
188,122.0
189,139.0
190,142.0
191,140.0
192,155.0
193,132.0
194,124.0
195,115.0
196,88.0
197,118.0
198,104.0
199,115.0
200,146.0
201,188.0
202,182.0
203,180.0
204,168.0
205,120.0
206,149.0
207,146.0
208,156.0
209,164.0
210,118.0
211,159.0
212,118.0
213,90.0
214,174.0
215,156.0
216,143.0
217,123.0
218,149.0
219,155.0
220,127.0
221,108.0
222,136.0
223,151.0
224,167.0
225,40.0
226,147.0
227,113.0
228,149.0
229,151.0
230,129.0
231,166.0
232,168.0
233,143.0
234,144.0
235,169.0
236,200.0
237,183.0
238,158.0
239,188.0
240,200.0
241,200.0
242,132.0
243,176.0
244,196.0
245,200.0
246,179.0
247,124.0
248,200.0
249,197.0
250,132.0
251,150.0
252,200.0
253,200.0
254,136.0
255,200.0
256,196.0
257,143.0
258,200.0
259,200.0
260,140.0
