step,value
0,8.0
1,10.0
2,8.0
3,43.0
4,30.0
5,30.0
6,29.0
7,12.0
8,27.0
9,42.0
10,13.0
11,11.0
12,13.0
13,26.0
14,30.0
15,32.0
16,11.0
17,11.0
18,12.0
19,11.0
20,28.0
21,11.0
22,31.0
23,10.0
24,11.0
25,11.0
26,10.0
27,11.0
28,11.0
29,32.0
30,31.0
31,12.0
32,10.0
33,11.0
34,10.0
35,37.0
36,10.0
37,33.0
38,10.0
39,30.0
40,11.0
41,10.0
42,12.0
43,10.0
44,10.0
45,11.0
46,10.0
47,11.0
48,11.0
49,11.0
50,31.0
51,11.0
52,39.0
53,10.0
54,11.0
55,10.0
56,10.0
57,10.0
58,10.0
59,10.0
60,10.0
61,11.0
62,10.0
63,10.0
64,9.0
65,9.0
66,10.0
67,9.0
68,10.0
69,10.0
70,10.0
71,9.0
72,9.0
73,9.0
74,10.0
75,8.0
76,9.0
77,11.0
78,10.0
79,10.0
80,9.0
81,9.0
82,9.0
83,9.0
84,10.0
85,10.0
86,11.0
87,8.0
88,9.0
89,9.0
90,9.0
91,9.0
92,9.0
93,9.0
94,9.0
95,9.0
96,9.0
97,9.0
98,10.0
99,10.0
100,10.0
101,9.0
102,10.0
103,9.0
104,12.0
105,11.0
106,12.0
107,10.0
108,10.0
109,32.0
110,25.0
111,46.0
112,21.0
113,24.0
114,31.0
115,49.0
116,37.0
117,35.0
118,14.0
119,25.0
120,48.0
121,22.0
122,24.0
123,39.0
124,21.0
125,14.0
126,14.0
127,14.0
128,30.0
129,25.0
130,20.0
131,27.0
132,30.0
133,12.0
134,13.0
135,26.0
136,12.0
137,25.0
138,11.0
139,25.0
140,23.0
141,12.0
142,34.0
143,12.0
144,15.0
145,11.0
146,22.0
147,11.0
148,13.0
149,21.0
150,13.0
151,21.0
152,11.0
153,11.0
154,24.0
155,20.0
156,26.0
157,15.0
158,27.0
159,12.0
160,17.0
161,27.0
162,12.0
163,22.0
164,13.0
165,11.0
166,11.0
167,24.0
168,11.0
169,11.0
170,19.0
171,11.0
172,11.0
173,11.0
174,11.0
175,12.0
176,13.0
177,24.0
178,12.0
179,12.0
180,11.0
181,11.0
182,39.0
183,28.0
184,31.0
185,11.0
186,11.0
187,11.0
188,12.0
189,21.0
190,11.0
191,24.0
192,13.0
193,26.0
194,24.0
195,11.0
196,12.0
197,25.0
198,21.0
199,11.0
200,26.0
201,23.0
202,14.0
203,12.0
204,23.0
205,17.0
206,13.0
207,25.0
208,12.0
209,23.0
210,21.0
211,10.0
212,11.0
213,10.0
214,12.0
215,13.0
216,12.0
217,11.0
218,11.0
219,11.0
220,11.0
221,16.0
222,30.0
223,21.0
224,25.0
225,11.0
226,20.0
227,12.0
228,11.0
229,13.0
230,12.0
231,40.0
232,18.0
233,19.0
234,43.0
235,16.0
236,13.0
237,15.0
238,11.0
239,11.0
240,12.0
241,22.0
242,22.0
243,22.0
244,12.0
245,11.0
246,11.0
247,10.0
248,18.0
249,15.0
250,20.0
251,16.0
252,20.0
253,22.0
254,21.0
255,12.0
256,23.0
257,11.0
258,11.0
259,26.0
260,18.0
261,26.0
262,37.0
263,19.0
264,51.0
265,66.0
266,25.0
