step,value
0,11.0
1,10.0
2,10.0
3,11.0
4,64.0
5,8.0
6,8.0
7,66.0
8,17.0
9,14.0
10,82.0
11,41.0
12,41.0
13,100.0
14,32.0
15,42.0
16,42.0
17,38.0
18,30.0
19,29.0
20,31.0
21,38.0
22,26.0
23,32.0
24,29.0
25,28.0
26,28.0
27,29.0
28,60.0
29,56.0
30,26.0
31,25.0
32,38.0
33,23.0
34,47.0
35,62.0
36,39.0
37,34.0
38,45.0
39,48.0
40,28.0
41,26.0
42,28.0
43,41.0
44,29.0
45,32.0
46,28.0
47,33.0
48,37.0
49,29.0
50,28.0
51,31.0
52,39.0
53,44.0
54,47.0
55,32.0
56,45.0
57,45.0
58,28.0
59,28.0
60,34.0
61,31.0
62,36.0
63,33.0
64,40.0
65,49.0
66,49.0
67,52.0
68,44.0
69,44.0
70,30.0
71,42.0
72,54.0
73,60.0
74,37.0
75,63.0
76,48.0
77,38.0
78,44.0
79,68.0
80,42.0
81,36.0
82,32.0
83,42.0
84,36.0
85,36.0
86,37.0
87,32.0
88,36.0
89,35.0
90,50.0
91,35.0
92,40.0
93,28.0
94,76.0
95,27.0
96,27.0
97,41.0
98,51.0
99,56.0
100,97.0
101,162.0
102,63.0
103,52.0
104,50.0
105,64.0
106,148.0
107,91.0
108,57.0
109,52.0
110,56.0
111,69.0
112,46.0
113,66.0
114,138.0
115,158.0
116,200.0
117,41.0
118,43.0
119,47.0
120,49.0
121,75.0
122,97.0
123,82.0
124,52.0
125,59.0
126,49.0
127,97.0
128,84.0
129,69.0
130,42.0
131,38.0
132,63.0
133,46.0
134,65.0
135,54.0
136,61.0
137,44.0
138,40.0
139,70.0
140,107.0
141,49.0
142,29.0
143,59.0
144,178.0
145,162.0
146,58.0
147,52.0
148,60.0
149,77.0
150,37.0
151,55.0
152,61.0
153,34.0
154,40.0
155,163.0
156,133.0
157,74.0
158,123.0
159,59.0
160,57.0
161,200.0
162,100.0
163,62.0
164,47.0
165,141.0
166,113.0
167,96.0
168,141.0
169,200.0
170,37.0
171,34.0
172,69.0
173,42.0
174,64.0
175,73.0
176,200.0
177,77.0
178,66.0
179,59.0
180,40.0
181,200.0
182,123.0
183,90.0
184,200.0
185,79.0
186,98.0
187,200.0
188,61.0
189,61.0
190,69.0
191,47.0
192,58.0
193,76.0
194,44.0
195,78.0
196,59.0
197,96.0
198,200.0
199,84.0
200,51.0
201,64.0
202,102.0
203,200.0
204,64.0
205,200.0
206,200.0
207,99.0
208,50.0
209,72.0
210,118.0
211,200.0
212,92.0
213,59.0
214,200.0
215,53.0
216,91.0
217,196.0
218,69.0
219,200.0
220,200.0
221,58.0
222,47.0
223,95.0
224,200.0
225,101.0
226,200.0
227,200.0
228,200.0
229,69.0
230,200.0
231,97.0
232,85.0
233,68.0
234,200.0
235,67.0
236,54.0
237,200.0
238,95.0
239,200.0
240,68.0
241,59.0
242,111.0
243,71.0
244,107.0
245,58.0
246,77.0
247,200.0
248,86.0
249,109.0
250,200.0
251,107.0
252,44.0
253,66.0
254,200.0
255,90.0
256,67.0
257,119.0
258,62.0
259,49.0
260,37.0
261,39.0
262,77.0
263,36.0
264,66.0
265,89.0
266,112.0
267,200.0
268,200.0
269,78.0
270,200.0
271,68.0
272,89.0
273,79.0
274,52.0
275,73.0
276,92.0
277,73.0
278,54.0
279,58.0
280,42.0
281,70.0
282,200.0
283,92.0
284,94.0
285,200.0
286,105.0
287,86.0
288,114.0
289,162.0
290,80.0
291,111.0
292,200.0
293,132.0
294,200.0
295,66.0
296,109.0
297,82.0
298,58.0
299,51.0
300,153.0
301,80.0
302,74.0
303,113.0
304,80.0
305,200.0
306,78.0
307,81.0
308,127.0
309,200.0
310,101.0
311,59.0
312,58.0
313,98.0
314,64.0
315,82.0
316,57.0
317,192.0
318,80.0
319,66.0
320,87.0
321,90.0
322,200.0
323,69.0
324,200.0
325,200.0
326,200.0
327,74.0
328,200.0
329,200.0
330,200.0
331,200.0
332,200.0
333,185.0
334,78.0
335,78.0
336,133.0
337,200.0
338,200.0
339,79.0
340,60.0
341,200.0
342,200.0
343,76.0
344,200.0
345,200.0
346,110.0
347,200.0
348,200.0
349,54.0
350,200.0
351,200.0
352,120.0
353,62.0
354,44.0
355,60.0
356,64.0
357,200.0
358,66.0
359,200.0
360,95.0
361,200.0
362,200.0
363,65.0
364,65.0
365,60.0
366,200.0
367,74.0
368,82.0
369,200.0
370,200.0
371,69.0
372,200.0
373,69.0
374,58.0
375,76.0
376,113.0
377,200.0
378,70.0
379,181.0
380,200.0
381,200.0
382,95.0
383,62.0
384,200.0
385,200.0
386,147.0
387,138.0
388,67.0
389,71.0
390,200.0
391,200.0
392,92.0
393,75.0
394,70.0
395,200.0
396,94.0
397,161.0
398,74.0
399,82.0
400,87.0
401,195.0
402,200.0
403,200.0
404,88.0
405,200.0
406,84.0
407,200.0
408,200.0
409,91.0
410,87.0
411,59.0
412,82.0
413,63.0
414,41.0
415,47.0
416,200.0
417,200.0
418,58.0
419,48.0
420,90.0
421,91.0
422,200.0
423,53.0
424,40.0
425,48.0
426,48.0
427,79.0
428,84.0
429,64.0
430,99.0
431,121.0
432,58.0
433,103.0
434,200.0
435,155.0
436,200.0
437,200.0
438,200.0
439,200.0
440,74.0
441,39.0
442,57.0
443,100.0
444,56.0
445,80.0
446,85.0
447,74.0
448,65.0
449,72.0
450,61.0
451,86.0
452,72.0
453,165.0
454,69.0
455,200.0
456,87.0
457,98.0
458,85.0
459,70.0
460,200.0
461,200.0
462,138.0
463,200.0
464,61.0
465,200.0
466,200.0
467,61.0
468,200.0
469,72.0
470,58.0
471,200.0
472,84.0
473,200.0
474,200.0
475,49.0
476,63.0
477,74.0
478,65.0
479,83.0
480,200.0
481,200.0
482,200.0
483,56.0
484,66.0
485,200.0
486,84.0
487,100.0
488,164.0
489,200.0
