step,value
0,8.0
1,11.0
2,9.0
3,9.0
4,10.0
5,8.0
6,9.0
7,11.0
8,11.0
9,9.0
10,10.0
11,8.0
12,8.0
13,10.0
14,8.0
15,10.0
16,8.0
17,9.0
18,120.0
19,83.0
20,92.0
21,117.0
22,93.0
23,62.0
24,78.0
25,105.0
26,85.0
27,64.0
28,20.0
29,51.0
30,55.0
31,63.0
32,35.0
33,90.0
34,60.0
35,42.0
36,53.0
37,46.0
38,35.0
39,47.0
40,39.0
41,42.0
42,49.0
43,37.0
44,34.0
45,31.0
46,29.0
47,79.0
48,29.0
49,57.0
50,53.0
51,83.0
52,25.0
53,37.0
54,32.0
55,29.0
56,37.0
57,31.0
58,61.0
59,30.0
60,62.0
61,81.0
62,31.0
63,52.0
64,55.0
65,45.0
66,130.0
67,131.0
68,74.0
69,31.0
70,26.0
71,87.0
72,103.0
73,32.0
74,45.0
75,62.0
76,30.0
77,32.0
78,34.0
79,37.0
80,38.0
81,61.0
82,28.0
83,27.0
84,28.0
85,28.0
86,30.0
87,27.0
88,42.0
89,57.0
90,34.0
91,77.0
92,29.0
93,41.0
94,31.0
95,34.0
96,29.0
97,29.0
98,44.0
99,36.0
100,26.0
101,29.0
102,34.0
103,47.0
104,37.0
105,55.0
106,43.0
107,25.0
108,28.0
109,38.0
110,49.0
111,36.0
112,55.0
113,33.0
114,45.0
115,24.0
116,23.0
117,58.0
118,34.0
119,41.0
120,53.0
121,39.0
122,36.0
123,44.0
124,35.0
125,31.0
126,50.0
127,33.0
128,33.0
129,37.0
130,34.0
131,37.0
132,37.0
133,49.0
134,42.0
135,45.0
136,36.0
137,46.0
138,99.0
139,66.0
140,101.0
141,64.0
142,102.0
143,124.0
144,133.0
145,122.0
146,100.0
147,120.0
148,105.0
149,138.0
150,108.0
151,100.0
152,102.0
153,107.0
154,110.0
155,114.0
156,138.0
157,106.0
158,108.0
159,118.0
160,103.0
161,117.0
162,106.0
163,134.0
164,106.0
165,138.0
166,112.0
167,129.0
168,173.0
169,126.0
170,112.0
171,117.0
172,122.0
173,181.0
174,130.0
175,148.0
176,193.0
177,118.0
178,114.0
179,173.0
180,152.0
181,200.0
182,174.0
183,145.0
184,200.0
185,131.0
186,183.0
187,145.0
188,200.0
189,200.0
190,163.0
191,159.0
192,152.0
193,159.0
194,119.0
195,200.0
196,144.0
197,124.0
198,145.0
199,200.0
200,200.0
201,200.0
202,130.0
203,118.0
204,140.0
205,200.0
206,200.0
207,200.0
208,200.0
209,165.0
210,200.0
211,200.0
212,200.0
213,200.0
214,200.0
215,200.0
216,200.0
217,200.0
218,191.0
219,200.0
220,192.0
221,200.0
222,200.0
223,200.0
224,156.0
225,200.0
226,179.0
227,156.0
228,152.0
229,152.0
230,138.0
231,108.0
232,81.0
233,200.0
234,182.0
235,133.0
236,143.0
237,164.0
238,151.0
239,156.0
240,151.0
241,200.0
242,190.0
243,156.0
244,185.0
245,200.0
246,200.0
247,200.0
248,150.0
249,179.0
250,200.0
251,199.0
252,143.0
253,173.0
254,121.0
255,200.0
256,148.0
257,178.0
258,200.0
259,200.0
260,200.0
261,166.0
262,157.0
263,195.0
264,200.0
265,200.0
266,172.0
267,135.0
268,166.0
269,146.0
270,200.0
271,200.0
272,171.0
273,169.0
274,137.0
275,157.0
276,200.0
277,112.0
278,157.0
279,200.0
280,200.0
281,182.0
282,147.0
283,175.0
284,200.0
285,165.0
286,175.0
287,200.0
288,200.0
289,200.0
290,188.0
291,200.0
292,200.0
293,200.0
294,200.0
295,175.0
296,188.0
297,200.0
298,140.0
299,145.0
300,162.0
301,140.0
302,200.0
303,172.0
304,200.0
305,200.0
306,200.0
307,200.0
308,200.0
309,200.0
310,146.0
311,171.0
312,196.0
313,140.0
314,144.0
315,145.0
316,166.0
317,164.0
318,146.0
319,174.0
320,200.0
321,200.0
322,140.0
323,200.0
324,162.0
325,200.0
326,200.0
327,200.0
328,200.0
329,174.0
330,200.0
331,200.0
332,200.0
333,200.0
334,200.0
335,200.0
336,172.0
337,200.0
338,200.0
339,200.0
340,170.0
341,200.0
342,200.0
343,200.0
344,196.0
345,200.0
346,200.0
347,200.0
348,152.0
349,200.0
350,145.0
351,200.0
352,200.0
353,200.0
354,200.0
355,200.0
356,173.0
357,200.0
358,200.0
359,200.0
360,164.0
361,200.0
362,200.0
363,200.0
364,200.0
365,185.0
366,184.0
367,197.0
368,200.0
369,200.0
370,200.0
371,200.0
372,200.0
373,200.0
374,136.0
375,200.0
376,142.0
377,200.0
378,200.0
379,200.0
380,200.0
381,200.0
382,200.0
383,200.0
384,200.0
385,200.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
