step,value
0,74.0
1,28.0
2,11.0
3,8.0
4,45.0
5,43.0
6,46.0
7,39.0
8,23.0
9,28.0
10,21.0
11,17.0
12,34.0
13,42.0
14,150.0
15,28.0
16,8.0
17,21.0
18,45.0
19,24.0
20,42.0
21,24.0
22,40.0
23,84.0
24,17.0
25,9.0
26,40.0
27,9.0
28,144.0
29,106.0
30,27.0
31,21.0
32,67.0
33,63.0
34,58.0
35,23.0
36,19.0
37,12.0
38,113.0
39,124.0
40,8.0
41,9.0
42,26.0
43,16.0
44,56.0
45,8.0
46,9.0
47,9.0
48,18.0
49,71.0
50,10.0
51,8.0
52,32.0
53,32.0
54,8.0
55,8.0
56,9.0
57,43.0
58,45.0
59,50.0
60,8.0
61,99.0
62,37.0
63,43.0
64,34.0
65,36.0
66,25.0
67,8.0
68,49.0
69,32.0
70,139.0
71,28.0
72,8.0
73,119.0
74,22.0
75,21.0
76,22.0
77,19.0
78,9.0
79,31.0
80,35.0
81,30.0
82,9.0
83,9.0
84,77.0
85,92.0
86,26.0
87,40.0
88,9.0
89,9.0
90,30.0
91,20.0
92,27.0
93,32.0
94,28.0
95,20.0
96,10.0
97,10.0
98,9.0
99,10.0
100,9.0
101,19.0
102,9.0
103,10.0
104,9.0
105,8.0
106,8.0
107,10.0
108,10.0
109,10.0
110,8.0
111,9.0
112,9.0
113,48.0
114,56.0
115,8.0
116,8.0
117,9.0
118,8.0
119,52.0
120,34.0
121,32.0
122,9.0
123,9.0
124,9.0
125,9.0
126,51.0
127,26.0
128,15.0
129,10.0
130,9.0
131,9.0
132,8.0
133,63.0
134,30.0
135,26.0
136,47.0
137,47.0
138,50.0
139,159.0
140,43.0
141,20.0
142,44.0
143,60.0
144,46.0
145,41.0
146,81.0
147,36.0
148,39.0
149,37.0
150,74.0
151,91.0
152,33.0
153,33.0
154,46.0
155,43.0
156,43.0
157,59.0
158,33.0
159,75.0
160,97.0
161,65.0
162,38.0
163,65.0
164,63.0
165,60.0
166,50.0
167,40.0
168,51.0
169,58.0
170,38.0
171,34.0
172,34.0
173,19.0
174,32.0
175,34.0
176,40.0
177,47.0
178,31.0
179,12.0
180,11.0
181,25.0
182,29.0
183,30.0
184,23.0
185,39.0
186,25.0
187,35.0
188,35.0
189,12.0
190,31.0
191,33.0
192,42.0
193,41.0
194,25.0
195,39.0
196,24.0
197,41.0
198,38.0
199,27.0
200,42.0
201,30.0
202,29.0
203,39.0
204,39.0
205,35.0
206,38.0
207,12.0
208,37.0
209,12.0
210,29.0
211,20.0
212,27.0
213,43.0
214,19.0
215,13.0
216,26.0
217,21.0
218,28.0
219,11.0
220,26.0
221,24.0
222,24.0
223,24.0
224,20.0
225,28.0
226,37.0
227,31.0
228,24.0
229,23.0
230,27.0
231,32.0
232,28.0
233,25.0
234,35.0
235,22.0
236,28.0
237,28.0
238,21.0
239,34.0
240,23.0
241,25.0
242,25.0
243,37.0
244,24.0
245,26.0
246,26.0
247,21.0
248,23.0
249,23.0
250,20.0
251,24.0
252,41.0
253,23.0
254,34.0
255,28.0
256,26.0
257,29.0
258,26.0
259,26.0
260,23.0
261,24.0
262,25.0
263,25.0
264,19.0
265,24.0
266,25.0
267,28.0
268,42.0
269,30.0
270,41.0
271,26.0
272,26.0
273,41.0
274,31.0
275,25.0
276,28.0
277,39.0
278,38.0
279,25.0
280,19.0
281,34.0
282,29.0
283,34.0
284,42.0
285,20.0
286,28.0
287,27.0
288,27.0
289,23.0
290,42.0
291,20.0
292,21.0
293,28.0
294,39.0
295,20.0
296,29.0
297,28.0
298,23.0
299,39.0
300,27.0
301,24.0
302,28.0
303,23.0
304,36.0
305,22.0
306,27.0
307,20.0
308,12.0
309,26.0
310,25.0
311,18.0
312,40.0
313,28.0
314,24.0
315,21.0
316,39.0
317,21.0
318,30.0
319,25.0
320,30.0
321,28.0
322,37.0
323,40.0
324,33.0
325,25.0
326,25.0
327,28.0
328,35.0
329,25.0
330,26.0
331,23.0
332,39.0
333,21.0
334,38.0
335,39.0
336,23.0
337,32.0
338,25.0
339,35.0
340,28.0
341,26.0
342,28.0
343,27.0
344,42.0
345,27.0
346,23.0
347,29.0
348,33.0
349,28.0
350,28.0
351,26.0
352,36.0
353,12.0
354,34.0
355,30.0
356,23.0
357,37.0
358,29.0
359,33.0
360,23.0
361,24.0
362,20.0
363,35.0
364,24.0
365,26.0
366,25.0
367,35.0
368,35.0
369,39.0
370,27.0
371,27.0
372,24.0
373,25.0
374,36.0
375,35.0
376,25.0
377,26.0
378,27.0
379,25.0
380,28.0
381,23.0
382,28.0
383,28.0
384,23.0
385,25.0
386,37.0
387,20.0
388,25.0
389,32.0
390,23.0
391,26.0
392,23.0
393,22.0
394,23.0
395,27.0
396,24.0
397,38.0
398,28.0
399,28.0
400,36.0
401,38.0
402,13.0
403,37.0
404,27.0
405,41.0
406,42.0
407,23.0
408,25.0
409,27.0
410,25.0
411,24.0
412,24.0
413,24.0
414,37.0
415,39.0
416,37.0
417,24.0
418,27.0
419,27.0
420,28.0
421,37.0
422,27.0
423,28.0
424,40.0
425,36.0
426,24.0
427,29.0
428,27.0
429,41.0
430,40.0
431,23.0
432,35.0
433,30.0
434,24.0
435,24.0
436,26.0
437,27.0
438,22.0
439,25.0
440,25.0
441,34.0
442,28.0
443,26.0
444,34.0
445,12.0
446,25.0
447,24.0
448,12.0
449,46.0
450,24.0
451,25.0
452,27.0
453,38.0
454,23.0
455,40.0
456,24.0
457,27.0
458,43.0
459,28.0
460,23.0
