step,value
0,9.0
1,39.0
2,15.0
3,10.0
4,10.0
5,15.0
6,15.0
7,13.0
8,25.0
9,9.0
10,15.0
11,9.0
12,9.0
13,9.0
14,16.0
15,9.0
16,9.0
17,19.0
18,10.0
19,13.0
20,17.0
21,10.0
22,19.0
23,16.0
24,21.0
25,9.0
26,15.0
27,22.0
28,17.0
29,77.0
30,37.0
31,38.0
32,43.0
33,36.0
34,31.0
35,37.0
36,28.0
37,32.0
38,21.0
39,22.0
40,18.0
41,30.0
42,22.0
43,29.0
44,26.0
45,26.0
46,28.0
47,19.0
48,25.0
49,33.0
50,28.0
51,32.0
52,30.0
53,51.0
54,33.0
55,39.0
56,35.0
57,37.0
58,42.0
59,41.0
60,62.0
61,61.0
62,56.0
63,85.0
64,66.0
65,47.0
66,36.0
67,39.0
68,52.0
69,106.0
70,48.0
71,65.0
72,35.0
73,48.0
74,59.0
75,54.0
76,73.0
77,48.0
78,59.0
79,45.0
80,53.0
81,65.0
82,63.0
83,74.0
84,63.0
85,54.0
86,62.0
87,33.0
88,53.0
89,45.0
90,72.0
91,79.0
92,58.0
93,38.0
94,29.0
95,34.0
96,60.0
97,57.0
98,32.0
99,80.0
100,44.0
101,57.0
102,75.0
103,44.0
104,29.0
105,27.0
106,30.0
107,35.0
108,62.0
109,72.0
110,79.0
111,78.0
112,49.0
113,67.0
114,89.0
115,89.0
116,62.0
117,61.0
118,65.0
119,79.0
120,75.0
121,100.0
122,68.0
123,54.0
124,73.0
125,56.0
126,79.0
127,74.0
128,73.0
129,30.0
130,60.0
131,54.0
132,42.0
133,38.0
134,74.0
135,116.0
136,50.0
137,42.0
138,63.0
139,57.0
140,67.0
141,91.0
142,37.0
143,71.0
144,55.0
145,51.0
146,101.0
147,65.0
148,78.0
149,55.0
150,38.0
151,90.0
152,91.0
153,54.0
154,45.0
155,61.0
156,37.0
157,48.0
158,93.0
159,90.0
160,71.0
161,59.0
162,44.0
163,40.0
164,45.0
165,63.0
166,49.0
167,61.0
168,37.0
169,40.0
170,73.0
171,48.0
172,81.0
173,44.0
174,45.0
175,86.0
176,45.0
177,98.0
178,65.0
179,80.0
180,33.0
181,82.0
182,41.0
183,54.0
184,61.0
185,37.0
186,45.0
187,74.0
188,59.0
189,63.0
190,58.0
191,59.0
192,41.0
193,64.0
194,64.0
195,59.0
196,42.0
197,56.0
198,51.0
199,68.0
200,108.0
201,52.0
202,64.0
203,45.0
204,62.0
205,58.0
206,56.0
207,91.0
208,61.0
209,58.0
210,38.0
211,39.0
212,86.0
213,88.0
214,109.0
215,117.0
216,52.0
217,70.0
218,80.0
219,39.0
220,53.0
221,87.0
222,75.0
223,57.0
224,51.0
225,47.0
226,79.0
227,63.0
228,55.0
229,45.0
230,45.0
231,106.0
232,68.0
233,93.0
234,50.0
235,61.0
236,55.0
237,44.0
238,118.0
239,105.0
240,49.0
241,48.0
242,72.0
243,106.0
244,43.0
245,39.0
246,123.0
247,68.0
248,53.0
249,59.0
250,41.0
251,59.0
252,51.0
253,96.0
254,98.0
255,47.0
256,65.0
257,43.0
258,44.0
259,39.0
260,67.0
261,32.0
262,121.0
263,35.0
264,69.0
265,38.0
266,69.0
267,62.0
268,58.0
269,56.0
270,116.0
271,171.0
272,52.0
273,49.0
274,61.0
275,139.0
276,119.0
277,54.0
278,46.0
279,117.0
280,61.0
281,67.0
282,57.0
283,142.0
284,63.0
285,47.0
286,76.0
287,43.0
288,131.0
289,55.0
290,39.0
291,60.0
292,79.0
293,62.0
294,40.0
295,46.0
296,43.0
297,45.0
298,127.0
299,53.0
300,72.0
301,30.0
302,68.0
303,56.0
304,56.0
305,51.0
306,53.0
307,78.0
308,48.0
309,70.0
310,63.0
311,121.0
312,39.0
313,141.0
314,56.0
315,125.0
316,121.0
317,40.0
318,55.0
319,110.0
320,41.0
321,100.0
322,42.0
323,40.0
324,43.0
325,135.0
326,70.0
327,127.0
328,73.0
329,90.0
330,50.0
331,41.0
332,123.0
333,31.0
334,32.0
335,53.0
336,44.0
337,69.0
338,68.0
339,127.0
340,68.0
341,127.0
342,72.0
343,130.0
344,56.0
345,57.0
346,74.0
347,146.0
348,90.0
349,49.0
350,52.0
351,142.0
352,165.0
353,52.0
354,59.0
355,58.0
356,49.0
357,38.0
358,37.0
359,52.0
360,75.0
361,135.0
362,110.0
363,57.0
364,43.0
365,93.0
366,49.0
367,63.0
368,46.0
369,39.0
370,36.0
371,52.0
372,61.0
373,64.0
374,65.0
375,68.0
376,59.0
377,41.0
378,51.0
379,56.0
380,45.0
381,43.0
382,68.0
383,86.0
384,57.0
385,85.0
386,52.0
387,74.0
388,31.0
389,41.0
390,50.0
391,119.0
392,88.0
393,51.0
394,91.0
395,40.0
396,43.0
397,53.0
398,54.0
399,93.0
400,106.0
401,35.0
402,39.0
403,79.0
404,53.0
405,48.0
406,55.0
407,54.0
408,66.0
409,120.0
410,79.0
411,47.0
412,81.0
413,86.0
414,76.0
415,54.0
416,37.0
417,62.0
418,56.0
419,129.0
420,38.0
421,86.0
422,50.0
423,69.0
424,102.0
425,54.0
426,59.0
427,108.0
428,45.0
429,57.0
430,49.0
431,35.0
432,26.0
433,44.0
434,69.0
435,41.0
436,31.0
437,52.0
438,52.0
439,39.0
440,85.0
441,114.0
442,57.0
443,74.0
444,42.0
445,34.0
446,42.0
447,57.0
448,67.0
449,147.0
450,121.0
451,103.0
452,32.0
453,49.0
454,37.0
455,52.0
456,61.0
457,54.0
458,56.0
459,51.0
460,42.0
461,144.0
462,53.0
463,69.0
464,50.0
465,60.0
466,83.0
467,54.0
468,52.0
469,81.0
470,92.0
471,187.0
472,102.0
473,57.0
474,75.0
475,85.0
476,38.0
477,65.0
478,51.0
479,81.0
480,61.0
481,69.0
482,64.0
483,60.0
484,82.0
485,84.0
486,65.0
487,113.0
488,200.0
489,64.0
