step,value
0,11.0
1,9.0
2,18.0
3,18.0
4,13.0
5,9.0
6,15.0
7,24.0
8,18.0
9,11.0
10,21.0
11,13.0
12,17.0
13,32.0
14,48.0
15,15.0
16,9.0
17,16.0
18,9.0
19,23.0
20,9.0
21,18.0
22,34.0
23,40.0
24,9.0
25,13.0
26,24.0
27,17.0
28,26.0
29,26.0
30,16.0
31,29.0
32,29.0
33,23.0
34,18.0
35,10.0
36,32.0
37,21.0
38,21.0
39,21.0
40,25.0
41,36.0
42,16.0
43,23.0
44,21.0
45,28.0
46,57.0
47,28.0
48,27.0
49,200.0
50,200.0
51,190.0
52,44.0
53,200.0
54,21.0
55,23.0
56,69.0
57,66.0
58,23.0
59,147.0
60,54.0
61,160.0
62,23.0
63,23.0
64,28.0
65,21.0
66,157.0
67,103.0
68,34.0
69,99.0
70,41.0
71,35.0
72,62.0
73,51.0
74,52.0
75,37.0
76,81.0
77,57.0
78,90.0
79,39.0
80,98.0
81,51.0
82,39.0
83,30.0
84,50.0
85,27.0
86,67.0
87,144.0
88,55.0
89,38.0
90,41.0
91,34.0
92,42.0
93,50.0
94,91.0
95,88.0
96,66.0
97,45.0
98,33.0
99,36.0
100,73.0
101,39.0
102,37.0
103,64.0
104,46.0
105,71.0
106,52.0
107,63.0
108,47.0
109,63.0
110,54.0
111,82.0
112,80.0
113,41.0
114,83.0
115,101.0
116,72.0
117,66.0
118,92.0
119,106.0
120,200.0
121,71.0
122,100.0
123,80.0
124,76.0
125,72.0
126,200.0
127,167.0
128,200.0
129,74.0
130,187.0
131,126.0
132,71.0
133,200.0
134,200.0
135,90.0
136,200.0
137,200.0
138,200.0
139,114.0
140,200.0
141,200.0
142,200.0
143,133.0
144,113.0
145,120.0
146,200.0
147,200.0
148,116.0
149,142.0
150,200.0
151,200.0
152,200.0
153,130.0
154,105.0
155,129.0
156,200.0
157,140.0
158,157.0
159,99.0
160,102.0
161,200.0
162,200.0
163,200.0
164,200.0
165,141.0
166,200.0
167,200.0
168,163.0
169,200.0
170,200.0
171,200.0
172,200.0
173,200.0
174,200.0
175,200.0
176,103.0
177,98.0
178,200.0
179,200.0
180,104.0
181,200.0
182,92.0
183,109.0
184,200.0
185,200.0
186,117.0
187,200.0
188,200.0
189,200.0
190,200.0
191,95.0
192,91.0
193,137.0
194,198.0
195,99.0
196,200.0
197,155.0
198,200.0
199,200.0
200,161.0
201,92.0
202,200.0
203,142.0
204,99.0
205,200.0
206,126.0
207,111.0
208,200.0
209,200.0
210,106.0
211,200.0
212,154.0
213,200.0
214,118.0
215,191.0
216,200.0
217,200.0
218,200.0
219,200.0
220,93.0
221,200.0
222,103.0
223,200.0
224,200.0
225,200.0
226,141.0
227,200.0
228,200.0
229,136.0
230,106.0
231,106.0
232,200.0
233,200.0
234,200.0
235,200.0
236,200.0
237,200.0
238,200.0
239,200.0
240,200.0
241,180.0
242,200.0
243,151.0
244,200.0
245,200.0
246,109.0
247,200.0
248,200.0
249,200.0
250,119.0
251,200.0
252,200.0
253,200.0
254,111.0
255,200.0
256,200.0
257,138.0
258,188.0
259,200.0
260,131.0
261,111.0
262,200.0
263,200.0
264,124.0
265,108.0
266,200.0
267,200.0
268,121.0
269,200.0
270,200.0
271,181.0
272,170.0
273,142.0
274,155.0
275,127.0
276,200.0
277,200.0
278,124.0
279,110.0
280,195.0
281,200.0
282,142.0
283,138.0
284,143.0
285,186.0
286,200.0
287,200.0
288,164.0
289,153.0
290,154.0
291,200.0
292,200.0
293,200.0
294,200.0
295,200.0
296,135.0
297,200.0
298,200.0
299,200.0
300,200.0
301,200.0
302,200.0
303,200.0
304,200.0
305,191.0
306,200.0
307,128.0
308,200.0
309,200.0
310,147.0
311,135.0
312,185.0
313,200.0
314,200.0
315,200.0
316,200.0
317,139.0
318,136.0
319,186.0
320,200.0
321,182.0
322,200.0
323,200.0
324,147.0
325,200.0
326,200.0
327,200.0
328,175.0
329,200.0
330,193.0
331,167.0
332,200.0
333,200.0
334,163.0
335,200.0
336,200.0
337,177.0
338,200.0
339,200.0
340,200.0
341,200.0
342,200.0
343,132.0
344,200.0
345,192.0
346,200.0
347,200.0
348,200.0
349,200.0
350,182.0
351,200.0
352,200.0
353,200.0
354,200.0
355,185.0
356,200.0
357,200.0
358,200.0
359,200.0
360,200.0
361,200.0
362,200.0
363,159.0
364,151.0
365,200.0
366,200.0
367,200.0
368,200.0
369,200.0
370,197.0
371,200.0
372,200.0
373,200.0
374,200.0
375,200.0
376,200.0
377,200.0
378,200.0
379,200.0
380,200.0
