step,value
0,10.0
1,8.0
2,8.0
3,8.0
4,11.0
5,10.0
6,10.0
7,9.0
8,9.0
9,9.0
10,10.0
11,9.0
12,9.0
13,9.0
14,11.0
15,10.0
16,10.0
17,17.0
18,9.0
19,9.0
20,9.0
21,9.0
22,21.0
23,24.0
24,21.0
25,30.0
26,8.0
27,19.0
28,26.0
29,9.0
30,20.0
31,22.0
32,26.0
33,31.0
34,8.0
35,30.0
36,27.0
37,27.0
38,26.0
39,31.0
40,37.0
41,11.0
42,10.0
43,11.0
44,11.0
45,9.0
46,10.0
47,9.0
48,9.0
49,9.0
50,8.0
51,9.0
52,9.0
53,10.0
54,10.0
55,12.0
56,19.0
57,48.0
58,20.0
59,9.0
60,9.0
61,45.0
62,11.0
63,18.0
64,32.0
65,15.0
66,26.0
67,34.0
68,73.0
69,10.0
70,10.0
71,43.0
72,14.0
73,9.0
74,10.0
75,8.0
76,18.0
77,162.0
78,25.0
79,9.0
80,9.0
81,46.0
82,10.0
83,30.0
84,9.0
85,10.0
86,9.0
87,62.0
88,42.0
89,40.0
90,49.0
91,11.0
92,10.0
93,130.0
94,10.0
95,10.0
96,32.0
97,9.0
98,13.0
99,24.0
100,10.0
101,11.0
102,9.0
103,10.0
104,76.0
105,58.0
106,58.0
107,11.0
108,9.0
109,10.0
110,82.0
111,70.0
112,76.0
113,105.0
114,70.0
115,38.0
116,9.0
117,82.0
118,55.0
119,69.0
120,96.0
121,65.0
122,97.0
123,100.0
124,52.0
125,65.0
126,72.0
127,49.0
128,120.0
129,97.0
130,41.0
131,42.0
132,63.0
133,86.0
134,61.0
135,130.0
136,58.0
137,36.0
138,92.0
139,47.0
140,58.0
141,74.0
142,11.0
143,40.0
144,41.0
145,13.0
146,34.0
147,44.0
148,26.0
149,12.0
150,40.0
151,27.0
152,42.0
153,27.0
154,35.0
155,37.0
156,42.0
157,22.0
158,40.0
159,37.0
160,53.0
161,38.0
162,34.0
163,20.0
164,24.0
165,40.0
166,37.0
167,38.0
168,27.0
169,39.0
170,29.0
171,46.0
172,32.0
173,37.0
174,40.0
175,38.0
176,25.0
177,36.0
178,38.0
179,42.0
180,39.0
181,35.0
182,40.0
183,42.0
184,46.0
185,42.0
186,53.0
187,42.0
188,25.0
189,35.0
190,26.0
191,28.0
192,11.0
193,10.0
194,24.0
195,40.0
196,29.0
197,21.0
198,24.0
199,24.0
200,12.0
201,27.0
202,22.0
203,20.0
204,22.0
205,20.0
206,30.0
207,21.0
208,23.0
209,22.0
210,12.0
211,28.0
212,35.0
213,37.0
214,33.0
215,28.0
216,41.0
217,23.0
218,23.0
219,22.0
220,27.0
221,42.0
222,12.0
223,34.0
224,31.0
225,25.0
226,35.0
227,27.0
228,11.0
229,10.0
230,25.0
231,22.0
232,14.0
233,13.0
234,19.0
235,20.0
236,23.0
237,33.0
238,11.0
239,14.0
240,30.0
241,25.0
242,26.0
243,37.0
244,26.0
245,46.0
246,34.0
247,40.0
248,36.0
249,26.0
250,27.0
251,24.0
252,21.0
253,29.0
254,34.0
255,25.0
256,24.0
257,36.0
258,29.0
259,45.0
260,40.0
261,38.0
262,43.0
263,34.0
264,29.0
265,24.0
266,27.0
267,20.0
268,24.0
269,11.0
270,13.0
271,27.0
272,22.0
273,12.0
274,37.0
275,19.0
276,35.0
277,24.0
278,36.0
279,28.0
280,22.0
281,32.0
282,12.0
283,12.0
284,24.0
285,23.0
286,25.0
287,23.0
288,25.0
289,38.0
290,11.0
291,27.0
292,22.0
293,10.0
294,10.0
295,13.0
296,17.0
297,12.0
298,24.0
299,20.0
300,24.0
301,24.0
302,25.0
303,27.0
304,24.0
305,23.0
306,23.0
307,23.0
308,24.0
309,39.0
310,28.0
311,35.0
312,25.0
313,33.0
314,39.0
315,25.0
316,26.0
317,20.0
