step,value
0,10.0
1,39.0
2,33.0
3,26.0
4,36.0
5,33.0
6,9.0
7,19.0
8,37.0
9,32.0
10,38.0
11,35.0
12,31.0
13,26.0
14,25.0
15,40.0
16,31.0
17,30.0
18,22.0
19,27.0
20,19.0
21,22.0
22,29.0
23,22.0
24,24.0
25,23.0
26,26.0
27,24.0
28,25.0
29,29.0
30,23.0
31,34.0
32,44.0
33,22.0
34,25.0
35,26.0
36,33.0
37,29.0
38,41.0
39,35.0
40,27.0
41,25.0
42,32.0
43,29.0
44,27.0
45,22.0
46,26.0
47,21.0
48,34.0
49,42.0
50,37.0
51,24.0
52,21.0
53,25.0
54,25.0
55,48.0
56,31.0
57,31.0
58,42.0
59,45.0
60,43.0
61,30.0
62,22.0
63,37.0
64,34.0
65,32.0
66,44.0
67,61.0
68,80.0
69,38.0
70,30.0
71,43.0
72,41.0
73,65.0
74,131.0
75,64.0
76,36.0
77,56.0
78,75.0
79,29.0
80,43.0
81,24.0
82,38.0
83,80.0
84,55.0
85,35.0
86,65.0
87,39.0
88,49.0
89,69.0
90,66.0
91,29.0
92,29.0
93,95.0
94,70.0
95,25.0
96,35.0
97,101.0
98,43.0
99,43.0
100,57.0
101,39.0
102,53.0
103,69.0
104,67.0
105,52.0
106,55.0
107,200.0
108,59.0
109,53.0
110,66.0
111,39.0
112,54.0
113,39.0
114,43.0
115,44.0
116,68.0
117,200.0
118,200.0
119,47.0
120,63.0
121,91.0
122,52.0
123,45.0
124,62.0
125,51.0
126,55.0
127,96.0
128,45.0
129,65.0
130,36.0
131,55.0
132,40.0
133,39.0
134,62.0
135,70.0
136,80.0
137,76.0
138,80.0
139,180.0
140,80.0
141,36.0
142,33.0
143,66.0
144,47.0
145,44.0
146,52.0
147,66.0
148,96.0
149,60.0
150,49.0
151,51.0
152,50.0
153,71.0
154,52.0
155,140.0
156,84.0
157,44.0
158,37.0
159,200.0
160,59.0
161,51.0
162,200.0
163,47.0
164,200.0
165,48.0
166,200.0
167,80.0
168,65.0
169,98.0
170,67.0
171,199.0
172,57.0
173,47.0
174,200.0
175,64.0
176,64.0
177,200.0
178,200.0
179,59.0
180,200.0
181,37.0
182,67.0
183,68.0
184,55.0
185,74.0
186,200.0
187,200.0
188,86.0
189,85.0
190,83.0
191,80.0
192,65.0
193,62.0
194,41.0
195,64.0
196,89.0
197,200.0
198,127.0
199,200.0
200,164.0
201,87.0
202,200.0
203,104.0
204,91.0
205,54.0
206,61.0
207,200.0
208,200.0
209,131.0
210,55.0
211,153.0
212,52.0
213,200.0
214,200.0
215,75.0
216,200.0
217,67.0
218,73.0
219,63.0
220,49.0
221,75.0
222,81.0
223,62.0
224,121.0
225,72.0
226,73.0
227,55.0
228,41.0
229,86.0
230,50.0
231,45.0
232,94.0
233,200.0
234,72.0
235,72.0
236,200.0
237,139.0
238,63.0
239,92.0
240,93.0
241,200.0
242,200.0
243,74.0
244,74.0
245,70.0
246,77.0
247,70.0
248,200.0
249,62.0
250,78.0
251,77.0
252,64.0
253,85.0
254,200.0
255,200.0
256,87.0
257,55.0
258,200.0
259,200.0
260,200.0
261,200.0
262,65.0
263,58.0
264,35.0
265,100.0
266,98.0
267,78.0
268,82.0
269,75.0
270,200.0
271,58.0
272,93.0
273,200.0
274,200.0
275,200.0
276,70.0
277,60.0
278,200.0
279,84.0
280,82.0
281,200.0
282,98.0
283,106.0
284,64.0
285,77.0
286,200.0
287,200.0
288,200.0
289,88.0
290,200.0
291,200.0
292,116.0
293,60.0
294,200.0
295,57.0
296,89.0
297,92.0
298,200.0
299,41.0
300,200.0
301,200.0
302,66.0
303,96.0
304,200.0
305,152.0
306,200.0
307,200.0
308,200.0
309,129.0
310,132.0
311,200.0
312,64.0
313,92.0
314,53.0
315,90.0
316,200.0
317,68.0
318,126.0
319,200.0
320,200.0
321,66.0
322,73.0
323,79.0
324,200.0
325,200.0
326,200.0
327,200.0
328,200.0
329,200.0
330,200.0
331,75.0
332,87.0
333,60.0
334,200.0
335,200.0
336,200.0
337,200.0
338,200.0
339,88.0
340,200.0
341,200.0
342,72.0
343,200.0
344,50.0
345,70.0
346,200.0
347,200.0
348,200.0
349,200.0
350,57.0
351,46.0
352,62.0
353,200.0
354,174.0
355,118.0
356,194.0
357,73.0
358,86.0
359,200.0
360,48.0
361,95.0
362,200.0
363,98.0
364,119.0
365,200.0
366,200.0
367,200.0
368,70.0
369,68.0
370,200.0
371,65.0
372,90.0
373,60.0
374,50.0
375,141.0
376,86.0
377,200.0
378,200.0
379,200.0
380,72.0
381,87.0
382,76.0
383,82.0
384,98.0
385,64.0
386,200.0
387,74.0
388,200.0
389,68.0
390,92.0
391,68.0
392,53.0
393,58.0
394,95.0
395,89.0
396,54.0
397,77.0
398,55.0
399,64.0
400,58.0
401,60.0
402,200.0
403,77.0
404,200.0
405,200.0
406,200.0
407,80.0
408,200.0
409,200.0
410,200.0
411,200.0
412,65.0
413,85.0
414,67.0
415,179.0
416,200.0
417,81.0
418,82.0
419,105.0
420,200.0
421,133.0
422,200.0
423,58.0
424,76.0
425,73.0
426,68.0
427,77.0
428,165.0
429,200.0
430,55.0
431,87.0
432,200.0
433,200.0
434,200.0
435,200.0
436,200.0
437,83.0
438,61.0
439,64.0
440,200.0
441,82.0
442,101.0
443,200.0
444,200.0
445,200.0
446,142.0
447,87.0
448,101.0
449,200.0
450,200.0
451,123.0
452,63.0
453,96.0
454,64.0
455,83.0
456,200.0
457,100.0
458,200.0
459,80.0
460,71.0
461,200.0
462,62.0
463,200.0
464,79.0
465,68.0
466,200.0
467,88.0
468,200.0
469,68.0
470,87.0
471,69.0
472,55.0
473,79.0
474,82.0
475,183.0
476,200.0
477,144.0
478,52.0
479,84.0
480,105.0
481,200.0
482,49.0
483,107.0
484,200.0
485,200.0
486,200.0
487,139.0
488,200.0
489,200.0
