step,value
0,9.0
1,9.0
2,26.0
3,17.0
4,21.0
5,17.0
6,19.0
7,15.0
8,20.0
9,18.0
10,22.0
11,115.0
12,18.0
13,106.0
14,22.0
15,105.0
16,117.0
17,25.0
18,133.0
19,108.0
20,106.0
21,85.0
22,96.0
23,85.0
24,78.0
25,78.0
26,66.0
27,84.0
28,59.0
29,57.0
30,58.0
31,54.0
32,49.0
33,45.0
34,48.0
35,45.0
36,49.0
37,63.0
38,45.0
39,58.0
40,35.0
41,36.0
42,39.0
43,61.0
44,52.0
45,41.0
46,38.0
47,31.0
48,32.0
49,34.0
50,42.0
51,50.0
52,40.0
53,51.0
54,52.0
55,66.0
56,55.0
57,56.0
58,40.0
59,47.0
60,53.0
61,41.0
62,54.0
63,53.0
64,38.0
65,29.0
66,33.0
67,56.0
68,55.0
69,32.0
70,50.0
71,28.0
72,31.0
73,33.0
74,53.0
75,38.0
76,50.0
77,53.0
78,41.0
79,49.0
80,37.0
81,39.0
82,39.0
83,53.0
84,35.0
85,35.0
86,35.0
87,51.0
88,47.0
89,48.0
90,41.0
91,79.0
92,39.0
93,48.0
94,34.0
95,61.0
96,35.0
97,40.0
98,40.0
99,26.0
100,42.0
101,48.0
102,43.0
103,33.0
104,44.0
105,53.0
106,47.0
107,35.0
108,75.0
109,81.0
110,100.0
111,85.0
112,81.0
113,102.0
114,94.0
115,112.0
116,92.0
117,139.0
118,100.0
119,25.0
120,115.0
121,112.0
122,110.0
123,153.0
124,127.0
125,116.0
126,45.0
127,129.0
128,109.0
129,122.0
130,114.0
131,127.0
132,122.0
133,177.0
134,200.0
135,147.0
136,143.0
137,200.0
138,200.0
139,120.0
140,144.0
141,200.0
142,200.0
143,137.0
144,158.0
145,200.0
146,120.0
147,129.0
148,184.0
149,200.0
150,150.0
151,200.0
152,143.0
153,151.0
154,147.0
155,146.0
156,132.0
157,58.0
158,141.0
159,200.0
160,200.0
161,200.0
162,200.0
163,185.0
164,199.0
165,200.0
166,200.0
167,199.0
168,200.0
169,200.0
170,171.0
171,200.0
172,200.0
173,200.0
174,193.0
175,182.0
176,179.0
177,121.0
178,143.0
179,200.0
180,147.0
181,130.0
182,169.0
183,140.0
184,157.0
185,200.0
186,200.0
187,200.0
188,171.0
189,154.0
190,119.0
191,200.0
192,143.0
193,148.0
194,179.0
195,200.0
196,186.0
197,200.0
198,200.0
199,163.0
200,151.0
201,161.0
202,173.0
203,106.0
204,127.0
205,159.0
206,148.0
207,200.0
208,190.0
209,188.0
210,200.0
211,200.0
212,200.0
213,180.0
214,86.0
215,161.0
216,200.0
217,167.0
218,200.0
219,200.0
220,200.0
221,200.0
222,167.0
223,200.0
224,200.0
225,166.0
226,181.0
227,194.0
228,200.0
229,140.0
230,84.0
231,200.0
232,200.0
233,134.0
234,121.0
235,200.0
236,109.0
237,200.0
238,200.0
239,135.0
240,200.0
241,200.0
242,200.0
243,200.0
244,200.0
245,186.0
246,167.0
247,200.0
248,200.0
249,193.0
250,147.0
251,198.0
252,200.0
253,200.0
254,183.0
255,165.0
256,200.0
257,200.0
258,200.0
259,200.0
260,200.0
261,200.0
262,102.0
263,200.0
264,200.0
265,200.0
266,140.0
267,200.0
268,140.0
269,200.0
270,200.0
271,200.0
272,200.0
273,200.0
274,197.0
275,172.0
276,170.0
277,200.0
278,183.0
279,200.0
280,200.0
281,200.0
282,200.0
283,200.0
284,200.0
285,139.0
286,200.0
287,200.0
288,200.0
289,138.0
290,173.0
291,176.0
292,148.0
293,140.0
294,200.0
295,193.0
296,197.0
297,200.0
298,183.0
299,200.0
300,200.0
301,188.0
302,163.0
303,148.0
304,185.0
305,166.0
306,200.0
307,151.0
308,165.0
309,200.0
310,130.0
311,200.0
312,173.0
313,200.0
314,200.0
315,136.0
316,198.0
317,176.0
318,189.0
319,191.0
320,186.0
321,200.0
322,169.0
323,187.0
324,200.0
325,200.0
326,200.0
327,200.0
328,200.0
329,200.0
330,163.0
331,152.0
332,152.0
333,200.0
334,200.0
335,200.0
336,200.0
337,198.0
338,181.0
339,200.0
340,200.0
341,200.0
342,200.0
343,200.0
344,197.0
345,200.0
346,200.0
347,200.0
348,133.0
349,149.0
350,149.0
351,200.0
352,152.0
353,187.0
354,200.0
355,186.0
356,200.0
357,160.0
358,200.0
359,200.0
360,200.0
361,200.0
362,200.0
363,200.0
364,200.0
365,200.0
366,200.0
367,200.0
368,131.0
369,158.0
370,200.0
371,200.0
372,200.0
373,200.0
374,200.0
375,159.0
376,162.0
377,200.0
378,200.0
379,200.0
380,200.0
381,200.0
382,200.0
383,200.0
384,200.0
385,200.0
386,200.0
387,200.0
388,200.0
389,200.0
390,200.0
391,200.0
392,200.0
393,200.0
394,200.0
