step,value
0,29.0
1,24.0
2,46.0
3,10.0
4,10.0
5,8.0
6,36.0
7,8.0
8,10.0
9,8.0
10,9.0
11,41.0
12,23.0
13,8.0
14,70.0
15,39.0
16,9.0
17,8.0
18,10.0
19,38.0
20,29.0
21,33.0
22,9.0
23,31.0
24,24.0
25,9.0
26,42.0
27,34.0
28,9.0
29,84.0
30,10.0
31,30.0
32,35.0
33,10.0
34,9.0
35,9.0
36,33.0
37,9.0
38,43.0
39,8.0
40,8.0
41,11.0
42,65.0
43,24.0
44,51.0
45,9.0
46,10.0
47,9.0
48,33.0
49,29.0
50,31.0
51,59.0
52,22.0
53,46.0
54,39.0
55,24.0
56,40.0
57,55.0
58,22.0
59,50.0
60,27.0
61,22.0
62,38.0
63,45.0
64,30.0
65,34.0
66,48.0
67,25.0
68,65.0
69,102.0
70,57.0
71,62.0
72,87.0
73,22.0
74,34.0
75,32.0
76,32.0
77,54.0
78,35.0
79,33.0
80,9.0
81,11.0
82,26.0
83,22.0
84,40.0
85,9.0
86,9.0
87,10.0
88,10.0
89,16.0
90,27.0
91,9.0
92,8.0
93,19.0
94,9.0
95,41.0
96,9.0
97,10.0
98,26.0
99,30.0
100,37.0
101,68.0
102,18.0
103,11.0
104,25.0
105,21.0
106,19.0
107,23.0
108,49.0
109,73.0
110,10.0
111,22.0
112,35.0
113,82.0
114,33.0
115,9.0
116,20.0
117,40.0
118,26.0
119,31.0
120,13.0
121,11.0
122,11.0
123,75.0
124,10.0
125,10.0
126,15.0
127,16.0
128,25.0
129,11.0
130,14.0
131,11.0
132,49.0
133,13.0
134,42.0
135,43.0
136,33.0
137,51.0
138,34.0
139,84.0
140,135.0
141,115.0
142,113.0
143,111.0
144,127.0
145,89.0
146,39.0
147,94.0
148,110.0
149,198.0
150,57.0
151,39.0
152,28.0
153,200.0
154,73.0
155,42.0
156,46.0
157,105.0
158,200.0
159,159.0
160,91.0
161,71.0
162,86.0
163,105.0
164,42.0
165,52.0
166,39.0
167,35.0
168,64.0
169,24.0
170,34.0
171,34.0
172,43.0
173,45.0
174,30.0
175,47.0
176,71.0
177,51.0
178,50.0
179,34.0
180,40.0
181,50.0
182,45.0
183,55.0
184,58.0
185,48.0
186,45.0
187,34.0
188,40.0
189,41.0
190,33.0
191,29.0
192,21.0
193,42.0
194,33.0
195,47.0
196,37.0
197,33.0
198,39.0
199,28.0
200,28.0
201,51.0
202,32.0
203,63.0
204,127.0
205,35.0
206,33.0
207,73.0
208,64.0
209,38.0
210,40.0
211,74.0
212,114.0
213,99.0
214,131.0
215,45.0
216,28.0
217,44.0
218,25.0
219,27.0
220,32.0
221,39.0
222,25.0
223,39.0
224,41.0
225,37.0
226,25.0
227,26.0
228,40.0
229,36.0
230,33.0
231,42.0
232,39.0
233,52.0
234,47.0
235,69.0
236,71.0
237,170.0
